week_of,rank_current_week,title,artist,rank_prior_week,peak_pos,weeks_on_chart,artist_title,base_artist,expand,key
1/7/2017,3,closer,The Chainsmokers Featuring Halsey,3,1,21,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
1/7/2017,32,can't stop the feeling!,Justin Timberlake,39,1,33,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
1/7/2017,36,cheap thrills,Sia Featuring Sean Paul,41,1,45,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
1/14/2017,4,closer,The Chainsmokers Featuring Halsey,3,1,22,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
1/14/2017,25,can't stop the feeling!,Justin Timberlake,32,1,34,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
1/14/2017,30,cheap thrills,Sia Featuring Sean Paul,36,1,46,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
1/21/2017,3,closer,The Chainsmokers Featuring Halsey,4,1,23,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
1/21/2017,20,can't stop the feeling!,Justin Timberlake,25,1,35,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
1/21/2017,26,cheap thrills,Sia Featuring Sean Paul,30,1,47,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
1/28/2017,5,closer,The Chainsmokers Featuring Halsey,3,1,24,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
1/28/2017,25,can't stop the feeling!,Justin Timberlake,20,1,36,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
1/28/2017,27,cheap thrills,Sia Featuring Sean Paul,26,1,48,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
2/4/2017,4,closer,The Chainsmokers Featuring Halsey,5,1,25,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
2/4/2017,24,can't stop the feeling!,Justin Timberlake,25,1,37,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
2/4/2017,27,cheap thrills,Sia Featuring Sean Paul,27,1,49,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
2/11/2017,3,closer,The Chainsmokers Featuring Halsey,4,1,26,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
2/11/2017,23,can't stop the feeling!,Justin Timberlake,24,1,38,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
2/11/2017,27,cheap thrills,Sia Featuring Sean Paul,27,1,50,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
2/18/2017,5,closer,The Chainsmokers Featuring Halsey,3,1,27,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
2/18/2017,22,can't stop the feeling!,Justin Timberlake,23,1,39,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
2/18/2017,30,cheap thrills,Sia Featuring Sean Paul,27,1,51,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
2/25/2017,7,closer,The Chainsmokers Featuring Halsey,5,1,28,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
2/25/2017,25,can't stop the feeling!,Justin Timberlake,22,1,40,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
2/25/2017,32,cheap thrills,Sia Featuring Sean Paul,30,1,52,Sia Featuring Sean Paul-Cheap Thrills,sia,Sean Paul,sia_cheap thrills
3/4/2017,5,closer,The Chainsmokers Featuring Halsey,7,1,29,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
3/4/2017,25,can't stop the feeling!,Justin Timberlake,25,1,41,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
3/11/2017,5,closer,The Chainsmokers Featuring Halsey,5,1,30,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
3/11/2017,29,can't stop the feeling!,Justin Timberlake,25,1,42,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
3/18/2017,10,closer,The Chainsmokers Featuring Halsey,5,1,31,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
3/18/2017,13,can't stop the feeling!,Justin Timberlake,29,1,43,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
3/25/2017,10,closer,The Chainsmokers Featuring Halsey,10,1,32,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
3/25/2017,24,can't stop the feeling!,Justin Timberlake,13,1,44,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
4/1/2017,13,closer,The Chainsmokers Featuring Halsey,10,1,33,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
4/1/2017,28,can't stop the feeling!,Justin Timberlake,24,1,45,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
4/8/2017,17,closer,The Chainsmokers Featuring Halsey,13,1,34,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
4/8/2017,33,can't stop the feeling!,Justin Timberlake,28,1,46,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
4/15/2017,20,closer,The Chainsmokers Featuring Halsey,17,1,35,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
4/15/2017,31,can't stop the feeling!,Justin Timberlake,33,1,47,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
4/22/2017,21,closer,The Chainsmokers Featuring Halsey,20,1,36,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
4/22/2017,32,can't stop the feeling!,Justin Timberlake,31,1,48,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
4/29/2017,23,closer,The Chainsmokers Featuring Halsey,21,1,37,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
4/29/2017,33,can't stop the feeling!,Justin Timberlake,32,1,49,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
5/6/2017,28,closer,The Chainsmokers Featuring Halsey,23,1,38,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
5/6/2017,47,can't stop the feeling!,Justin Timberlake,33,1,50,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
5/13/2017,23,closer,The Chainsmokers Featuring Halsey,28,1,39,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
5/13/2017,38,can't stop the feeling!,Justin Timberlake,47,1,51,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
5/20/2017,23,closer,The Chainsmokers Featuring Halsey,23,1,40,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
5/20/2017,39,can't stop the feeling!,Justin Timberlake,38,1,52,Justin Timberlake-Can't Stop The Feeling!,justin timberlake,,justin timberlake_can't stop the feeling!
5/27/2017,25,closer,The Chainsmokers Featuring Halsey,23,1,41,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
6/3/2017,27,closer,The Chainsmokers Featuring Halsey,25,1,42,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
6/10/2017,32,closer,The Chainsmokers Featuring Halsey,27,1,43,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
6/17/2017,32,closer,The Chainsmokers Featuring Halsey,32,1,44,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
6/24/2017,32,closer,The Chainsmokers Featuring Halsey,32,1,45,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
7/1/2017,34,closer,The Chainsmokers Featuring Halsey,32,1,46,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
7/8/2017,33,closer,The Chainsmokers Featuring Halsey,34,1,47,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
7/15/2017,34,closer,The Chainsmokers Featuring Halsey,33,1,48,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
7/22/2017,36,closer,The Chainsmokers Featuring Halsey,34,1,49,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
7/29/2017,37,closer,The Chainsmokers Featuring Halsey,36,1,50,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
8/5/2017,36,closer,The Chainsmokers Featuring Halsey,37,1,51,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
8/12/2017,39,closer,The Chainsmokers Featuring Halsey,36,1,52,The Chainsmokers Featuring Halsey-Closer,the chainsmokers,Halsey,the chainsmokers_closer
